Jahr,QuarSort,QuarLang,AnzSterWir
1998,74,"Witikon",159
1998,81,"Seefeld",43
1998,82,"Mühlebach",60
1998,83,"Weinegg",97
1998,91,"Albisrieden",219
1998,92,"Altstetten",278
1998,101,"Höngg",239
1998,102,"Wipkingen",179
1998,111,"Affoltern",153
1998,115,"Oerlikon",150
1998,119,"Seebach",173
1998,121,"Saatlen",53
1998,122,"Schwamendingen-Mitte",101
1998,123,"Hirzenbach",149
1999,11,"Rathaus",15
1999,12,"Hochschulen",22
1999,13,"Lindenhof",9
1999,14,"City",6
1999,21,"Wollishofen",310
1999,23,"Leimbach",48
1999,24,"Enge",73
1999,31,"Alt-Wiedikon",128
1999,33,"Friesenberg",134
1999,34,"Sihlfeld",199
1999,41,"Werd",52
1999,42,"Langstrasse",116
1999,44,"Hard",122
1999,51,"Gewerbeschule",80
1999,52,"Escher Wyss",8
1999,61,"Unterstrass",184
1999,63,"Oberstrass",94
1999,71,"Fluntern",78
1999,72,"Hottingen",127
1999,73,"Hirslanden",130
1999,74,"Witikon",149
1999,81,"Seefeld",36
1999,82,"Mühlebach",41
1999,83,"Weinegg",96
1999,91,"Albisrieden",229
1999,92,"Altstetten",257
1999,101,"Höngg",249
1999,102,"Wipkingen",180
1999,111,"Affoltern",150
1999,115,"Oerlikon",150
1999,119,"Seebach",156
1999,121,"Saatlen",50
1999,122,"Schwamendingen-Mitte",116
1999,123,"Hirzenbach",154
2000,11,"Rathaus",29
2000,12,"Hochschulen",18
2000,13,"Lindenhof",7
2000,14,"City",11
2000,21,"Wollishofen",309
2000,23,"Leimbach",44
2000,24,"Enge",89
2000,31,"Alt-Wiedikon",139
2000,33,"Friesenberg",126
2000,34,"Sihlfeld",195
2000,41,"Werd",43
2000,42,"Langstrasse",109
2000,44,"Hard",118
2000,51,"Gewerbeschule",94
2000,52,"Escher Wyss",13
2000,61,"Unterstrass",198
2000,63,"Oberstrass",82
2000,71,"Fluntern",78
2000,72,"Hottingen",139
2000,73,"Hirslanden",98
2000,74,"Witikon",181
2000,81,"Seefeld",43
2000,82,"Mühlebach",40
2000,83,"Weinegg",124
2000,91,"Albisrieden",202
2000,92,"Altstetten",234
2000,101,"Höngg",251
2000,102,"Wipkingen",190
2000,111,"Affoltern",159
2000,115,"Oerlikon",174
2000,119,"Seebach",159
2000,121,"Saatlen",42
2000,122,"Schwamendingen-Mitte",96
2000,123,"Hirzenbach",162
2001,11,"Rathaus",16
2001,12,"Hochschulen",30
2001,13,"Lindenhof",12
2001,14,"City",7
2001,21,"Wollishofen",267
2001,23,"Leimbach",44
2001,24,"Enge",79
2001,31,"Alt-Wiedikon",133
2001,33,"Friesenberg",136
2001,34,"Sihlfeld",196
2001,41,"Werd",53
2001,42,"Langstrasse",99
2001,44,"Hard",130
2001,51,"Gewerbeschule",101
2001,52,"Escher Wyss",11
2001,61,"Unterstrass",201
2001,63,"Oberstrass",105
2001,71,"Fluntern",70
2001,72,"Hottingen",107
2001,73,"Hirslanden",98
2001,74,"Witikon",159
2001,81,"Seefeld",46
2001,82,"Mühlebach",53
2001,83,"Weinegg",106
2001,91,"Albisrieden",197
2001,92,"Altstetten",233
2001,101,"Höngg",259
2001,102,"Wipkingen",216
2001,111,"Affoltern",149
2001,115,"Oerlikon",164
2001,119,"Seebach",148
2001,121,"Saatlen",48
2001,122,"Schwamendingen-Mitte",106
2001,123,"Hirzenbach",164
2002,11,"Rathaus",23
2002,12,"Hochschulen",26
2002,13,"Lindenhof",6
2002,14,"City",9
2002,21,"Wollishofen",241
2002,23,"Leimbach",49
2002,24,"Enge",66
2002,31,"Alt-Wiedikon",104
2002,33,"Friesenberg",137
2002,34,"Sihlfeld",192
2002,41,"Werd",50
2002,42,"Langstrasse",94
2002,44,"Hard",125
2002,51,"Gewerbeschule",49
2002,52,"Escher Wyss",12
2002,61,"Unterstrass",191
2002,63,"Oberstrass",81
2002,71,"Fluntern",75
2002,72,"Hottingen",92
2002,73,"Hirslanden",123
2002,74,"Witikon",146
2002,81,"Seefeld",42
2002,82,"Mühlebach",53
2002,83,"Weinegg",109
2002,91,"Albisrieden",217
2002,92,"Altstetten",231
2002,101,"Höngg",219
2002,102,"Wipkingen",201
2002,111,"Affoltern",131
2002,115,"Oerlikon",139
2002,119,"Seebach",174
2002,121,"Saatlen",59
2002,122,"Schwamendingen-Mitte",100
2002,123,"Hirzenbach",160
2003,11,"Rathaus",22
2003,12,"Hochschulen",24
2003,13,"Lindenhof",6
2003,14,"City",3
2003,21,"Wollishofen",278
2003,23,"Leimbach",46
2003,24,"Enge",79
2003,31,"Alt-Wiedikon",111
2003,33,"Friesenberg",145
2003,34,"Sihlfeld",201
2003,41,"Werd",37
2003,42,"Langstrasse",94
2003,44,"Hard",120
2003,51,"Gewerbeschule",84
2003,52,"Escher Wyss",6
2003,61,"Unterstrass",163
2003,63,"Oberstrass",103
2003,71,"Fluntern",70
2003,72,"Hottingen",99
2003,73,"Hirslanden",105
2003,74,"Witikon",160
2003,81,"Seefeld",34
2003,82,"Mühlebach",46
2003,83,"Weinegg",85
2003,91,"Albisrieden",219
2003,92,"Altstetten",235
2003,101,"Höngg",270
2003,102,"Wipkingen",210
2003,111,"Affoltern",112
2003,115,"Oerlikon",136
2003,119,"Seebach",169
2003,121,"Saatlen",44
2003,122,"Schwamendingen-Mitte",100
2003,123,"Hirzenbach",193
2004,11,"Rathaus",21
2004,12,"Hochschulen",25
2004,13,"Lindenhof",5
2004,14,"City",10
2004,21,"Wollishofen",202
2004,23,"Leimbach",83
2004,24,"Enge",74
2004,31,"Alt-Wiedikon",115
2004,33,"Friesenberg",129
2004,34,"Sihlfeld",190
2004,41,"Werd",42
2004,42,"Langstrasse",77
2004,44,"Hard",112
2004,51,"Gewerbeschule",65
2004,52,"Escher Wyss",4
2004,61,"Unterstrass",152
2004,63,"Oberstrass",91
2004,71,"Fluntern",73
2004,72,"Hottingen",108
2004,73,"Hirslanden",121
2004,74,"Witikon",150
2004,81,"Seefeld",42
2004,82,"Mühlebach",40
2004,83,"Weinegg",83
2004,91,"Albisrieden",181
2004,92,"Altstetten",220
2004,101,"Höngg",231
2004,102,"Wipkingen",208
2004,111,"Affoltern",127
2004,115,"Oerlikon",131
2004,119,"Seebach",153
2004,121,"Saatlen",45
2004,122,"Schwamendingen-Mitte",97
2004,123,"Hirzenbach",161
2005,11,"Rathaus",20
2005,12,"Hochschulen",28
2005,13,"Lindenhof",6
2005,14,"City",6
2005,21,"Wollishofen",218
2005,23,"Leimbach",88
2005,24,"Enge",83
2005,31,"Alt-Wiedikon",126
2005,33,"Friesenberg",150
2005,34,"Sihlfeld",175
2005,41,"Werd",32
2005,42,"Langstrasse",93
